epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.8731,1.56096,3.14614,1.68878,0.44796,0.44679,0.41208,0.20191,1.7564,2.06515,1.8983,0.000221254,0.000221254,0.000221254
2,130.259,1.58497,2.09173,1.69283,0.40291,0.42254,0.36436,0.1543,1.92298,2.20113,2.06142,0.000428949,0.000428949,0.000428949
3,195.4,1.64002,2.06667,1.72308,0.438,0.40113,0.36579,0.16319,1.91049,2.15829,2.05688,0.00062197,0.00062197,0.00062197
4,260.985,1.63669,2.05965,1.71428,0.39147,0.48524,0.41337,0.18322,1.91962,2.05628,1.98464,0.000600967,0.000600967,0.000600967
5,326.681,1.6047,1.97636,1.69968,0.45593,0.47341,0.42369,0.19865,1.84368,1.89388,1.91055,0.000578956,0.000578956,0.000578956
6,392.313,1.5592,1.87637,1.66164,0.49368,0.50123,0.46041,0.22136,1.78957,1.83349,1.89352,0.000556945,0.000556945,0.000556945
7,458.158,1.53299,1.81464,1.64684,0.49471,0.53182,0.48851,0.23994,1.79384,1.78451,1.9052,0.000534934,0.000534934,0.000534934
8,523.819,1.50116,1.74225,1.60818,0.57935,0.5275,0.53584,0.25833,1.78268,1.69936,1.89607,0.000512923,0.000512923,0.000512923
9,589.73,1.48022,1.68159,1.59114,0.55631,0.53769,0.54172,0.27596,1.72484,1.63013,1.82281,0.000490912,0.000490912,0.000490912
10,655.751,1.43495,1.59911,1.56316,0.55545,0.55064,0.56084,0.2864,1.70592,1.59014,1.80639,0.000468901,0.000468901,0.000468901
11,721.33,1.43462,1.56844,1.56394,0.56731,0.54767,0.56573,0.2985,1.68344,1.55721,1.786,0.00044689,0.00044689,0.00044689
12,787.164,1.41373,1.53942,1.53929,0.5789,0.57066,0.58691,0.30519,1.68533,1.52459,1.77982,0.000424879,0.000424879,0.000424879
13,852.815,1.39248,1.49513,1.52719,0.60383,0.56953,0.58321,0.30045,1.69828,1.49875,1.79012,0.000402868,0.000402868,0.000402868
14,918.608,1.3439,1.44353,1.49859,0.60082,0.58126,0.58897,0.31004,1.66084,1.47842,1.79574,0.000380857,0.000380857,0.000380857
15,984.54,1.34921,1.39121,1.49438,0.59632,0.58873,0.60264,0.31483,1.65053,1.44533,1.75455,0.000358846,0.000358846,0.000358846
16,1050.64,1.33937,1.36144,1.49539,0.61849,0.59947,0.60995,0.31451,1.67459,1.43835,1.77163,0.000336835,0.000336835,0.000336835
17,1116.35,1.31002,1.32242,1.46768,0.64133,0.60528,0.62168,0.3267,1.66038,1.42283,1.75368,0.000314824,0.000314824,0.000314824
18,1182.31,1.28988,1.28049,1.45996,0.64859,0.59707,0.61091,0.32488,1.64664,1.40523,1.76271,0.000292813,0.000292813,0.000292813
19,1248.1,1.26786,1.23861,1.44274,0.65791,0.61994,0.63802,0.34272,1.64546,1.32876,1.75904,0.000270802,0.000270802,0.000270802
20,1313.93,1.25037,1.22884,1.42824,0.64582,0.61918,0.632,0.33229,1.66059,1.36401,1.76167,0.000248791,0.000248791,0.000248791
21,1380.49,1.30524,1.08691,1.49698,0.63605,0.62135,0.63163,0.33147,1.66087,1.35987,1.77966,0.00022678,0.00022678,0.00022678
22,1445.49,1.26521,1.0238,1.46316,0.67754,0.60464,0.64142,0.34248,1.64335,1.36379,1.7532,0.000204769,0.000204769,0.000204769
23,1510.73,1.23479,0.98526,1.4362,0.66447,0.60648,0.64129,0.33838,1.6528,1.33244,1.78115,0.000182758,0.000182758,0.000182758
24,1575.93,1.20928,0.92878,1.42316,0.66443,0.61118,0.63823,0.34556,1.63818,1.31819,1.76001,0.000160747,0.000160747,0.000160747
25,1641.31,1.19448,0.90246,1.40322,0.6482,0.63474,0.64427,0.35252,1.6259,1.27719,1.7512,0.000138736,0.000138736,0.000138736
26,1706.61,1.13849,0.84663,1.35689,0.66416,0.64693,0.65412,0.35639,1.63835,1.29647,1.76061,0.000116725,0.000116725,0.000116725
27,1771.89,1.10829,0.80281,1.34177,0.68261,0.6134,0.65593,0.3623,1.61859,1.28949,1.74912,9.4714e-05,9.4714e-05,9.4714e-05
28,1837.06,1.09204,0.78177,1.33644,0.67791,0.64209,0.65171,0.35285,1.63632,1.29,1.77003,7.2703e-05,7.2703e-05,7.2703e-05
29,1901.83,1.05784,0.7482,1.29996,0.68534,0.62705,0.65321,0.35799,1.62286,1.26856,1.7568,5.0692e-05,5.0692e-05,5.0692e-05
30,1967.1,1.04948,0.72536,1.29097,0.67842,0.63869,0.65471,0.36109,1.62685,1.27908,1.76024,2.8681e-05,2.8681e-05,2.8681e-05
